[(1.0, 2.0, 3.0), (1.0, 2.0, 4.0)]
[(1.0, 2.0), (1.0, 3.0)]
        - Testing with features [ 1 10 32] | Accuracy: %68.3
        - Testing with features [ 1 10 33] | Accuracy: %67.6
        - Testing with features [ 1 10 34] | Accuracy: %69.7
        - Testing with features [ 1 10 35] | Accuracy: %69.6
        - Testing with features [ 1 10 36] | Accuracy: %68.6
        - Testing with features [ 1 10 37] | Accuracy: %66.8
        - Testing with features [ 1 10 38] | Accuracy: %67.6
        - Testing with features [ 1 10 39] | Accuracy: %69.1
        - Testing with features [ 1 10 40] | Accuracy: %67.0
        - Testing with features [ 1 11 12] | Accuracy: %67.8
        - Testing with features [ 1 11 13] | Accuracy: %66.8
        - Testing with features [ 1 11 14] | Accuracy: %68.1
        - Testing with features [ 1 11 15] | Accuracy: %70.1
        - Testing with features [ 1 11 16] | Accuracy: %69.1
        - Testing with features [ 1 11 17] | Accuracy: %67.6
        - Testing with features [ 1 11 18] | Accuracy: %70.6
        - Testing with features [ 1 11 19] | Accuracy: %68.4
        - Testing with features [ 1 11 20] | Accuracy: %69.3
        - Testing with features [ 1 11 21] | Accuracy: %65.6
        - Testing with features [ 1 11 22] | Accuracy: %70.4
        - Testing with features [ 1 11 23] | Accuracy: %67.9
        - Testing with features [ 1 11 24] | Accuracy: %66.9
        - Testing with features [ 1 11 25] | Accuracy: %69.7
        - Testing with features [ 1 11 26] | Accuracy: %67.5
        - Testing with features [ 1 11 27] | Accuracy: %67.8
        - Testing with features [ 1 11 28] | Accuracy: %68.1
        - Testing with features [ 1 11 29] | Accuracy: %68.8
        - Testing with features [ 1 11 30] | Accuracy: %68.6
        - Testing with features [ 1 11 31] | Accuracy: %69.3
        - Testing with features [ 1 11 32] | Accuracy: %67.8
        - Testing with features [ 1 11 33] | Accuracy: %68.7
        - Testing with features [ 1 11 34] | Accuracy: %66.8
        - Testing with features [ 1 11 35] | Accuracy: %68.3
        - Testing with features [ 1 11 36] | Accuracy: %69.2
        - Testing with features [ 1 11 37] | Accuracy: %66.9
        - Testing with features [ 1 11 38] | Accuracy: %69.6
        - Testing with features [ 1 11 39] | Accuracy: %69.8
        - Testing with features [ 1 11 40] | Accuracy: %68.2
        - Testing with features [ 1 12 13] | Accuracy: %68.9
        - Testing with features [ 1 12 14] | Accuracy: %68.5
        - Testing with features [ 1 12 15] | Accuracy: %67.6
        - Testing with features [ 1 12 16] | Accuracy: %68.6
        - Testing with features [ 1 12 17] | Accuracy: %68.8
        - Testing with features [ 1 12 18] | Accuracy: %68.4
        - Testing with features [ 1 12 19] | Accuracy: %67.7
        - Testing with features [ 1 12 20] | Accuracy: %69.0
        - Testing with features [ 1 12 21] | Accuracy: %68.4
        - Testing with features [ 1 12 22] | Accuracy: %69.2
        - Testing with features [ 1 12 23] | Accuracy: %66.2
        - Testing with features [ 1 12 24] | Accuracy: %68.3
        - Testing with features [ 1 12 25] | Accuracy: %66.0
        - Testing with features [ 1 12 26] | Accuracy: %68.7
        - Testing with features [ 1 12 27] | Accuracy: %70.0
        - Testing with features [ 1 12 28] | Accuracy: %69.6
        - Testing with features [ 1 12 29] | Accuracy: %68.9
        - Testing with features [ 1 12 30] | Accuracy: %67.1
        - Testing with features [ 1 12 31] | Accuracy: %68.8
        - Testing with features [ 1 12 32] | Accuracy: %70.0
        - Testing with features [ 1 12 33] | Accuracy: %67.0
        - Testing with features [ 1 12 34] | Accuracy: %67.7
        - Testing with features [ 1 12 35] | Accuracy: %65.1
        - Testing with features [ 1 12 36] | Accuracy: %68.2
        - Testing with features [ 1 12 37] | Accuracy: %69.5
        - Testing with features [ 1 12 38] | Accuracy: %66.8
        - Testing with features [ 1 12 39] | Accuracy: %69.3
        - Testing with features [ 1 12 40] | Accuracy: %70.0
        - Testing with features [ 1 13 14] | Accuracy: %69.1
        - Testing with features [ 1 13 15] | Accuracy: %68.5
        - Testing with features [ 1 13 16] | Accuracy: %68.2
        - Testing with features [ 1 13 17] | Accuracy: %69.6
        - Testing with features [ 1 13 18] | Accuracy: %66.9
